x_km,y_km,pickups_per_day
1.8276,-5.0281,9
-5.4747,2.8656,49
-5.7596,2.7067,37
4.0706,-2.7626,20
1.0457,2.2779,105
-3.3035,-2.2752,97
3.0215,-0.2447,102
-2.8357,-5.1844,41
-0.9603,1.2194,152
-0.5876,-2.7824,163
5.4638,-0.3002,36
4.7028,5.4528,34
-2.6564,-1.9218,103
-2.6576,5.3565,52
-0.936,5.921,60
-5.9511,-1.7698,46
-2.2929,5.0956,58
5.421,0.1108,43
4.0585,2.0843,132
0.4215,2.6528,149
-0.1741,-5.1505,28
5.3415,3.2587,64
1.1181,-2.1182,123
5.3144,-5.6231,0
5.9746,-1.7381,4
-5.5948,-5.5283,36
-4.5773,-0.2946,118
3.1344,-1.4792,197
-4.4864,5.4267,35
-1.8979,2.4315,165
-2.3998,4.2115,72
0.6125,5.82,110
-5.3926,3.7715,57
-0.5884,5.8626,92
0.665,-5.3163,15
-4.57,3.5049,60
-1.9029,-3.6219,130
0.0546,0.8442,271
-2.3524,1.151,107
-0.986,4.5395,122
-1.0253,-2.1587,147
-4.8802,0.0199,111
1.056,2.9204,148
-5.1113,2.0215,56
0.9662,-1.6218,132
-5.0055,-2.0526,70
0.4695,-0.5362,301
4.2092,1.4892,98
-2.5344,-2.5623,97
-5.0071,-1.1404,109
-2.1542,-1.2403,114
-0.906,-1.616,146
1.346,-2.5273,131
-4.1816,4.0779,55
-5.9525,-0.9683,60
4.117,-0.8352,68
-0.5389,-2.479,148
0.8836,5.3549,139
3.6159,4.231,69
3.159,-4.1638,5
4.3432,4.4836,56
-2.1366,-0.6403,105
-3.6745,-4.0343,43
-5.8476,4.9207,32
-1.2473,3.1419,128
1.2781,0.1286,170
0.7982,0.6869,222
4.5458,-4.8194,1
3.9333,-4.2768,1
-0.0416,-1.5284,162
-4.5277,2.9867,69
0.0069,3.234,165
5.0338,-0.0508,54
4.5703,2.3316,108
2.0889,0.9322,103
1.9069,-5.4024,1
3.9484,3.0338,133
2.2445,2.6161,149
1.4903,-1.6311,167
-1.1789,-3.1727,163
-1.2059,5.7382,69
-0.1639,-1.837,139
4.5808,1.926,91
1.6983,-2.8045,138
3.9056,1.6913,135
0.0322,-5.798,15
0.4376,-5.1101,20
2.3855,3.9903,123
2.3349,5.4201,70
-3.3663,0.4137,135
5.1232,-3.4516,0
-3.3039,-0.4266,188
1.8981,-4.5817,9
-1.6517,-5.7862,34
-2.622,4.8276,68
5.9187,-2.5985,0
2.1544,2.2391,142
-2.5997,3.6849,155
2.7263,1.9475,113
3.0318,-2.0541,185
-1.6456,-2.306,150
5.198,-5.0063,0
5.6338,2.8017,53
-2.8149,4.0905,86
2.7683,4.9995,55
-3.5772,-0.9683,192
-3.379,4.4775,60
3.2717,4.5006,96
5.3426,5.1084,34
-0.0484,4.9959,200
-2.2316,0.1097,109
-2.6123,0.8002,99
-0.5545,0.6952,245
1.6834,-1.4633,179
5.0279,5.539,39
2.9702,-5.3788,0
4.5547,-2.5012,9
3.106,5.8108,45
-0.8353,-5.6172,42
5.4414,-3.6571,0
1.2843,2.8353,128
-0.5616,-2.5246,158
2.1432,-3.5574,41
3.0414,1.9775,145
0.8561,-2.0999,120
-0.1998,-4.0956,97
4.9666,0.7409,53
0.0949,4.88,182
0.4566,5.311,156
5.2397,2.2618,68
5.5338,-3.7023,1
1.8217,0.4957,103
-0.8615,-0.6805,209
-4.2634,-2.1757,112
-4.8061,-5.464,35
-2.3474,-1.7463,109
-5.8804,-4.3417,45
4.1777,-5.7268,0
-3.3155,5.6898,49
-4.0869,5.9646,38
-0.0958,-4.2728,81
1.6708,-0.0024,128
-5.5159,2.7156,39
-4.4713,-2.2313,103
5.5177,-1.166,18
1.3206,3.0795,160
5.1954,4.6132,32
-3.4694,1.5228,95
3.6039,2.0818,157
-4.2441,-4.3137,51
1.4506,0.2923,167
3.6516,-1.848,114
-3.9838,-0.3472,166
-4.9056,-3.1706,43
1.7577,-0.3322,123
-0.2515,-3.244,140
0.4565,-2.8396,85
2.3275,2.4827,135
4.1653,-4.7343,0
1.6441,-2.4013,154
3.9721,-1.7875,60
5.685,-4.2456,0
5.8674,-3.9762,0
-1.2877,-0.1815,181
-3.0987,-0.2348,151
4.3532,-5.7193,0
-2.0356,-2.3932,130
3.6749,1.0062,102
-3.5801,4.4568,72
-3.9013,0.6497,105
-0.7937,5.5042,97
-1.2985,-5.701,32
-5.0211,-0.2787,106
5.5028,-1.3878,19
-2.1099,4.1932,92
-4.6113,4.8004,34
-3.0368,-0.3729,173
-5.1226,-1.2077,101
0.7325,1.5045,130
3.5272,-4.8321,0
2.0408,-5.423,3
-1.2086,4.6434,116
3.417,2.5863,162
-0.9601,-3.0303,179
-5.9169,1.1259,37
-1.1097,-5.4173,49
-4.61,-1.2634,150
-4.2297,1.2397,80
-4.2983,2.3411,72
-2.409,1.0916,113
-2.0381,-4.2396,96
0.9676,5.1614,157
5.2088,3.6128,49
1.0525,-3.9219,58
4.1221,-3.1326,5
5.7428,4.9439,21
