x_km,y_km,demand
-6.0,-6.0,27.713
-5.8788,-6.0,28.112
-5.7576,-6.0,28.519
-5.6364,-6.0,28.932
-5.5152,-6.0,29.35
-5.3939,-6.0,29.773
-5.2727,-6.0,30.2
-5.1515,-6.0,30.63
-5.0303,-6.0,31.061
-4.9091,-6.0,31.493
-4.7879,-6.0,31.924
-4.6667,-6.0,32.353
-4.5455,-6.0,32.777
-4.4242,-6.0,33.194
-4.303,-6.0,33.603
-4.1818,-6.0,34.001
-4.0606,-6.0,34.385
-3.9394,-6.0,34.751
-3.8182,-6.0,35.097
-3.697,-6.0,35.417
-3.5758,-6.0,35.709
-3.4545,-6.0,35.966
-3.3333,-6.0,36.183
-3.2121,-6.0,36.354
-3.0909,-6.0,36.471
-2.9697,-6.0,36.527
-2.8485,-6.0,36.513
-2.7273,-6.0,36.418
-2.6061,-6.0,36.232
-2.4848,-6.0,35.945
-2.3636,-6.0,35.543
-2.2424,-6.0,35.016
-2.1212,-6.0,34.354
-2.0,-6.0,33.547
-1.8788,-6.0,32.588
-1.7576,-6.0,31.476
-1.6364,-6.0,30.212
-1.5152,-6.0,28.805
-1.3939,-6.0,27.267
-1.2727,-6.0,25.618
-1.1515,-6.0,23.883
-1.0303,-6.0,22.09
-0.9091,-6.0,20.27
-0.7879,-6.0,18.455
-0.6667,-6.0,16.674
-0.5455,-6.0,14.956
-0.4242,-6.0,13.322
-0.303,-6.0,11.789
-0.1818,-6.0,10.371
-0.0606,-6.0,9.074
0.0606,-6.0,7.9
0.1818,-6.0,6.848
0.303,-6.0,5.913
0.4242,-6.0,5.087
0.5455,-6.0,4.364
0.6667,-6.0,3.733
0.7879,-6.0,3.186
0.9091,-6.0,2.713
1.0303,-6.0,2.306
1.1515,-6.0,1.957
1.2727,-6.0,1.658
1.3939,-6.0,1.403
1.5152,-6.0,1.186
1.6364,-6.0,1.001
1.7576,-6.0,0.844
1.8788,-6.0,0.711
2.0,-6.0,0.599
2.1212,-6.0,0.504
2.2424,-6.0,0.423
2.3636,-6.0,0.356
2.4848,-6.0,0.298
2.6061,-6.0,0.25
2.7273,-6.0,0.21
2.8485,-6.0,0.176
2.9697,-6.0,0.147
3.0909,-6.0,0.123
3.2121,-6.0,0.103
3.3333,-6.0,0.086
3.4545,-6.0,0.072
3.5758,-6.0,0.06
3.697,-6.0,0.05
3.8182,-6.0,0.042
3.9394,-6.0,0.035
4.0606,-6.0,0.029
4.1818,-6.0,0.025
4.303,-6.0,0.02
4.4242,-6.0,0.017
4.5455,-6.0,0.014
4.6667,-6.0,0.012
4.7879,-6.0,0.01
4.9091,-6.0,0.008
5.0303,-6.0,0.007
5.1515,-6.0,0.006
5.2727,-6.0,0.005
5.3939,-6.0,0.004
5.5152,-6.0,0.003
5.6364,-6.0,0.003
5.7576,-6.0,0.002
5.8788,-6.0,0.002
6.0,-6.0,0.002
-6.0,-5.8788,28.124
-5.8788,-5.8788,28.542
-5.7576,-5.8788,28.967
-5.6364,-5.8788,29.399
-5.5152,-5.8788,29.837
-5.3939,-5.8788,30.28
-5.2727,-5.8788,30.729
-5.1515,-5.8788,31.18
-5.0303,-5.8788,31.635
-4.9091,-5.8788,32.09
-4.7879,-5.8788,32.546
-4.6667,-5.8788,33.0
-4.5455,-5.8788,33.452
-4.4242,-5.8788,33.899
-4.303,-5.8788,34.339
-4.1818,-5.8788,34.77
-4.0606,-5.8788,35.19
-3.9394,-5.8788,35.596
-3.8182,-5.8788,35.985
-3.697,-5.8788,36.354
-3.5758,-5.8788,36.7
-3.4545,-5.8788,37.017
-3.3333,-5.8788,37.302
-3.2121,-5.8788,37.549
-3.0909,-5.8788,37.753
-2.9697,-5.8788,37.906
-2.8485,-5.8788,38.001
-2.7273,-5.8788,38.028
-2.6061,-5.8788,37.977
-2.4848,-5.8788,37.836
-2.3636,-5.8788,37.594
-2.2424,-5.8788,37.235
-2.1212,-5.8788,36.747
-2.0,-5.8788,36.116
-1.8788,-5.8788,35.331
-1.7576,-5.8788,34.384
-1.6364,-5.8788,33.268
-1.5152,-5.8788,31.985
-1.3939,-5.8788,30.541
-1.2727,-5.8788,28.949
-1.1515,-5.8788,27.231
-1.0303,-5.8788,25.411
-0.9091,-5.8788,23.522
-0.7879,-5.8788,21.597
-0.6667,-5.8788,19.671
-0.5455,-5.8788,17.778
-0.4242,-5.8788,15.947
-0.303,-5.8788,14.204
-0.1818,-5.8788,12.569
-0.0606,-5.8788,11.055
0.0606,-5.8788,9.67
0.1818,-5.8788,8.417
0.303,-5.8788,7.293
0.4242,-5.8788,6.295
0.5455,-5.8788,5.415
0.6667,-5.8788,4.643
0.7879,-5.8788,3.971
0.9091,-5.8788,3.388
1.0303,-5.8788,2.884
1.1515,-5.8788,2.451
1.2727,-5.8788,2.079
1.3939,-5.8788,1.761
1.5152,-5.8788,1.489
1.6364,-5.8788,1.258
1.7576,-5.8788,1.062
1.8788,-5.8788,0.895
2.0,-5.8788,0.754
2.1212,-5.8788,0.634
2.2424,-5.8788,0.533
2.3636,-5.8788,0.448
2.4848,-5.8788,0.376
2.6061,-5.8788,0.316
2.7273,-5.8788,0.265
2.8485,-5.8788,0.222
2.9697,-5.8788,0.186
3.0909,-5.8788,0.156
