day,hour,pickups
1,5.0,0
1,5.5,5
1,6.0,4
1,6.5,34
1,7.0,78
1,7.5,136
1,8.0,163
1,8.5,168
1,9.0,104
1,9.5,57
1,10.0,36
1,10.5,28
1,11.0,49
1,11.5,40
1,12.0,64
1,12.5,75
1,13.0,68
1,13.5,56
1,14.0,41
1,14.5,25
1,15.0,26
1,15.5,44
1,16.0,69
1,16.5,119
1,17.0,205
1,17.5,237
1,18.0,221
1,18.5,162
1,19.0,129
1,19.5,86
1,20.0,64
1,20.5,73
1,21.0,62
1,21.5,62
1,22.0,42
1,22.5,44
1,23.0,31
2,5.0,0
2,5.5,3
2,6.0,5
2,6.5,24
2,7.0,63
2,7.5,108
2,8.0,153
2,8.5,154
2,9.0,88
2,9.5,49
2,10.0,32
2,10.5,32
2,11.0,44
2,11.5,44
2,12.0,66
2,12.5,80
2,13.0,55
2,13.5,54
2,14.0,18
2,14.5,34
2,15.0,25
2,15.5,41
2,16.0,50
2,16.5,96
2,17.0,168
2,17.5,175
2,18.0,207
2,18.5,147
2,19.0,97
2,19.5,70
2,20.0,66
2,20.5,56
2,21.0,56
2,21.5,58
2,22.0,51
2,22.5,32
2,23.0,33
3,5.0,0
3,5.5,4
3,6.0,11
3,6.5,22
3,7.0,85
3,7.5,145
3,8.0,207
3,8.5,167
3,9.0,106
3,9.5,67
3,10.0,31
3,10.5,39
3,11.0,33
3,11.5,60
3,12.0,82
3,12.5,67
3,13.0,58
3,13.5,44
3,14.0,40
3,14.5,31
3,15.0,35
3,15.5,55
3,16.0,68
3,16.5,121
3,17.0,189
3,17.5,230
3,18.0,211
3,18.5,171
3,19.0,149
3,19.5,101
3,20.0,65
3,20.5,70
3,21.0,66
3,21.5,66
3,22.0,48
3,22.5,48
3,23.0,40
4,5.0,0
4,5.5,3
4,6.0,14
4,6.5,33
4,7.0,85
4,7.5,171
4,8.0,197
4,8.5,163
4,9.0,94
4,9.5,50
4,10.0,38
4,10.5,36
4,11.0,50
4,11.5,49
4,12.0,60
4,12.5,77
4,13.0,73
4,13.5,64
4,14.0,35
4,14.5,30
4,15.0,34
4,15.5,53
4,16.0,97
4,16.5,132
4,17.0,229
4,17.5,259
4,18.0,218
4,18.5,204
4,19.0,139
4,19.5,93
4,20.0,77
4,20.5,86
4,21.0,80
4,21.5,74
4,22.0,62
4,22.5,62
4,23.0,39
5,5.0,1
5,5.5,2
5,6.0,1
5,6.5,23
5,7.0,48
5,7.5,120
5,8.0,140
5,8.5,91
5,9.0,64
5,9.5,45
5,10.0,32
5,10.5,28
5,11.0,26
5,11.5,27
5,12.0,56
5,12.5,42
5,13.0,54
5,13.5,37
5,14.0,38
5,14.5,24
5,15.0,18
5,15.5,31
5,16.0,44
5,16.5,85
5,17.0,133
5,17.5,171
5,18.0,161
5,18.5,138
5,19.0,96
5,19.5,70
5,20.0,58
5,20.5,52
5,21.0,53
5,21.5,43
5,22.0,37
5,22.5,39
5,23.0,40
6,5.0,0
6,5.5,3
6,6.0,3
6,6.5,20
6,7.0,51
6,7.5,120
6,8.0,142
6,8.5,135
6,9.0,80
6,9.5,40
6,10.0,31
6,10.5,29
6,11.0,28
6,11.5,37
6,12.0,57
6,12.5,58
6,13.0,40
6,13.5,39
6,14.0,23
6,14.5,33
6,15.0,22
6,15.5,36
6,16.0,60
6,16.5,93
6,17.0,154
6,17.5,189
6,18.0,154
6,18.5,150
6,19.0,118
6,19.5,82
6,20.0,59
6,20.5,56
6,21.0,48
6,21.5,49
6,22.0,42
6,22.5,41
6,23.0,31
7,5.0,0
7,5.5,3
7,6.0,8
7,6.5,20
7,7.0,70
7,7.5,143
7,8.0,170
7,8.5,157
7,9.0,98
7,9.5,41
7,10.0,40
7,10.5,30
7,11.0,31
7,11.5,59
7,12.0,78
7,12.5,80
7,13.0,56
7,13.5,57
7,14.0,36
7,14.5,39
7,15.0,30
7,15.5,40
7,16.0,70
7,16.5,137
7,17.0,157
7,17.5,229
7,18.0,215
7,18.5,187
7,19.0,125
7,19.5,90
7,20.0,68
7,20.5,57
7,21.0,61
7,21.5,55
7,22.0,54
7,22.5,57
7,23.0,37
8,5.0,0
8,5.5,3
8,6.0,9
8,6.5,31
8,7.0,69
8,7.5,128
8,8.0,148
8,8.5,140
8,9.0,94
8,9.5,46
8,10.0,24
8,10.5,25
8,11.0,36
8,11.5,60
8,12.0,64
8,12.5,64
8,13.0,54
8,13.5,40
8,14.0,37
8,14.5,26
8,15.0,18
8,15.5,46
8,16.0,49
8,16.5,133
8,17.0,157
8,17.5,187
8,18.0,195
8,18.5,173
8,19.0,125
8,19.5,93
8,20.0,67
8,20.5,70
8,21.0,67
8,21.5,49
8,22.0,46
8,22.5,49
8,23.0,43
9,5.0,2
9,5.5,1
9,6.0,4
9,6.5,35
9,7.0,73
9,7.5,106
9,8.0,165
9,8.5,169
9,9.0,101
9,9.5,62
9,10.0,35
9,10.5,30
9,11.0,44
9,11.5,51
9,12.0,67
9,12.5,68
9,13.0,53
9,13.5,41
9,14.0,33
9,14.5,34
9,15.0,37
9,15.5,51
9,16.0,58
9,16.5,127
9,17.0,185
9,17.5,211
9,18.0,219
9,18.5,173
9,19.0,148
9,19.5,79
9,20.0,68
9,20.5,55
9,21.0,58
9,21.5,52
9,22.0,47
9,22.5,39
9,23.0,39
10,5.0,0
10,5.5,4
10,6.0,9
10,6.5,22
10,7.0,51
10,7.5,123
10,8.0,142
10,8.5,126
10,9.0,91
10,9.5,43
10,10.0,28
10,10.5,33
10,11.0,48
10,11.5,58
10,12.0,54
10,12.5,55
10,13.0,55
10,13.5,51
10,14.0,32
10,14.5,23
10,15.0,33
10,15.5,39
10,16.0,65
10,16.5,94
10,17.0,188
10,17.5,227
10,18.0,195
10,18.5,149
10,19.0,99
10,19.5,75
10,20.0,62
10,20.5,58
10,21.0,61
10,21.5,49
10,22.0,44
10,22.5,43
10,23.0,41
11,5.0,1
11,5.5,1
11,6.0,7
11,6.5,40
11,7.0,84
11,7.5,152
11,8.0,191
11,8.5,166
11,9.0,115
11,9.5,39
11,10.0,46
11,10.5,38
11,11.0,58
11,11.5,65
11,12.0,75
11,12.5,78
11,13.0,67
11,13.5,49
11,14.0,38
11,14.5,24
11,15.0,38
11,15.5,41
11,16.0,90
11,16.5,138
11,17.0,186
11,17.5,229
11,18.0,263
11,18.5,197
11,19.0,167
11,19.5,91
11,20.0,75
11,20.5,82
11,21.0,67
11,21.5,74
11,22.0,59
11,22.5,53
11,23.0,55
12,5.0,3
12,5.5,2
12,6.0,9
12,6.5,27
12,7.0,87
12,7.5,155
12,8.0,176
12,8.5,167
12,9.0,89
12,9.5,64
12,10.0,45
12,10.5,28
12,11.0,44
12,11.5,62
12,12.0,73
12,12.5,72
12,13.0,66
12,13.5,55
12,14.0,44
12,14.5,39
12,15.0,31
12,15.5,54
12,16.0,91
12,16.5,146
12,17.0,177
12,17.5,207
12,18.0,248
12,18.5,199
12,19.0,125
12,19.5,109
12,20.0,78
12,20.5,57
12,21.0,73
12,21.5,70
12,22.0,63
12,22.5,47
12,23.0,37
13,5.0,0
13,5.5,0
13,6.0,8
13,6.5,35
13,7.0,64
13,7.5,126
13,8.0,178
13,8.5,171
13,9.0,66
13,9.5,55
13,10.0,29
13,10.5,33
13,11.0,35
13,11.5,50
13,12.0,72
13,12.5,84
13,13.0,54
13,13.5,47
13,14.0,47
13,14.5,25
13,15.0,26
13,15.5,37
13,16.0,64
13,16.5,109
13,17.0,195
13,17.5,212
13,18.0,211
13,18.5,182
13,19.0,110
13,19.5,76
13,20.0,78
13,20.5,45
13,21.0,58
13,21.5,60
13,22.0,53
13,22.5,44
13,23.0,31
14,5.0,0
14,5.5,2
14,6.0,13
14,6.5,29
14,7.0,66
14,7.5,159
14,8.0,185
14,8.5,187
14,9.0,115
14,9.5,57
14,10.0,39
14,10.5,37
14,11.0,45
14,11.5,56
14,12.0,72
14,12.5,74
14,13.0,78
14,13.5,54
14,14.0,34
14,14.5,42
14,15.0,27
14,15.5,49
14,16.0,79
14,16.5,133
14,17.0,214
14,17.5,235
14,18.0,265
14,18.5,201
14,19.0,150
14,19.5,106
14,20.0,83
14,20.5,72
14,21.0,62
14,21.5,57
14,22.0,57
14,22.5,77
14,23.0,48
15,5.0,1
15,5.5,1
15,6.0,10
15,6.5,23
15,7.0,89
15,7.5,136
15,8.0,176
15,8.5,144
15,9.0,111
15,9.5,71
15,10.0,41
15,10.5,34
15,11.0,41
15,11.5,54
15,12.0,68
15,12.5,59
15,13.0,64
15,13.5,52
15,14.0,30
15,14.5,32
15,15.0,20
15,15.5,32
15,16.0,77
15,16.5,127
15,17.0,174
15,17.5,234
15,18.0,261
15,18.5,164
15,19.0,131
15,19.5,90
15,20.0,75
15,20.5,63
15,21.0,69
15,21.5,54
15,22.0,48
15,22.5,48
15,23.0,42
16,5.0,1
16,5.5,2
16,6.0,8
16,6.5,30
16,7.0,70
16,7.5,123
16,8.0,161
16,8.5,145
16,9.0,113
16,9.5,46
16,10.0,30
16,10.5,28
16,11.0,40
16,11.5,41
16,12.0,54
16,12.5,83
16,13.0,48
16,13.5,43
16,14.0,36
16,14.5,21
16,15.0,28
16,15.5,34
16,16.0,53
16,16.5,113
16,17.0,158
16,17.5,205
16,18.0,191
16,18.5,148
16,19.0,102
16,19.5,77
16,20.0,69
16,20.5,52
16,21.0,54
16,21.5,49
16,22.0,47
16,22.5,43
16,23.0,45
17,5.0,0
17,5.5,0
17,6.0,7
17,6.5,24
17,7.0,69
17,7.5,130
17,8.0,209
17,8.5,165
17,9.0,92
17,9.5,53
17,10.0,38
17,10.5,27
17,11.0,33
17,11.5,63
17,12.0,64
17,12.5,72
17,13.0,72
17,13.5,47
17,14.0,31
17,14.5,17
17,15.0,33
17,15.5,34
17,16.0,81
17,16.5,113
17,17.0,181
17,17.5,245
17,18.0,221
17,18.5,208
17,19.0,140
17,19.5,78
17,20.0,65
17,20.5,66
17,21.0,72
17,21.5,55
17,22.0,53
17,22.5,56
17,23.0,24
18,5.0,1
18,5.5,4
18,6.0,8
18,6.5,24
18,7.0,63
18,7.5,129
18,8.0,146
18,8.5,128
18,9.0,88
18,9.5,44
18,10.0,38
18,10.5,32
18,11.0,35
18,11.5,50
18,12.0,57
18,12.5,57
18,13.0,65
18,13.5,47
18,14.0,33
18,14.5,32
18,15.0,23
18,15.5,39
18,16.0,46
18,16.5,119
18,17.0,153
18,17.5,181
18,18.0,201
18,18.5,145
18,19.0,121
18,19.5,71
18,20.0,65
18,20.5,57
18,21.0,53
18,21.5,59
18,22.0,48
18,22.5,52
18,23.0,28
19,5.0,0
19,5.5,1
19,6.0,12
19,6.5,30
19,7.0,86
19,7.5,132
19,8.0,208
19,8.5,180
19,9.0,91
19,9.5,54
19,10.0,33
19,10.5,31
19,11.0,46
19,11.5,62
19,12.0,79
19,12.5,83
19,13.0,67
19,13.5,40
19,14.0,38
19,14.5,28
19,15.0,36
19,15.5,47
19,16.0,82
19,16.5,132
19,17.0,200
19,17.5,211
19,18.0,237
19,18.5,195
19,19.0,171
19,19.5,88
19,20.0,64
19,20.5,69
19,21.0,74
19,21.5,66
19,22.0,73
19,22.5,53
19,23.0,47
20,5.0,1
20,5.5,5
20,6.0,13
20,6.5,33
20,7.0,66
20,7.5,134
20,8.0,178
20,8.5,164
20,9.0,93
20,9.5,45
20,10.0,32
20,10.5,36
20,11.0,32
20,11.5,48
20,12.0,49
20,12.5,60
20,13.0,60
20,13.5,57
20,14.0,36
20,14.5,25
20,15.0,35
20,15.5,58
20,16.0,66
20,16.5,114
20,17.0,144
20,17.5,224
20,18.0,211
20,18.5,180
20,19.0,137
20,19.5,74
20,20.0,72
20,20.5,44
20,21.0,60
20,21.5,49
20,22.0,65
20,22.5,58
20,23.0,50
21,5.0,0
21,5.5,5
21,6.0,10
21,6.5,27
21,7.0,66
21,7.5,119
21,8.0,197
21,8.5,141
21,9.0,93
21,9.5,45
21,10.0,43
21,10.5,24
21,11.0,42
21,11.5,39
21,12.0,72
21,12.5,65
21,13.0,61
21,13.5,45
21,14.0,37
21,14.5,37
21,15.0,24
21,15.5,46
21,16.0,64
21,16.5,115
21,17.0,174
21,17.5,206
21,18.0,189
21,18.5,162
21,19.0,120
21,19.5,83
21,20.0,71
21,20.5,63
21,21.0,58
21,21.5,63
21,22.0,58
21,22.5,46
21,23.0,46
22,5.0,0
22,5.5,2
22,6.0,5
22,6.5,35
22,7.0,90
22,7.5,122
22,8.0,158
22,8.5,158
22,9.0,81
22,9.5,41
22,10.0,25
22,10.5,25
22,11.0,33
22,11.5,48
22,12.0,71
22,12.5,58
22,13.0,53
22,13.5,43
22,14.0,28
22,14.5,21
22,15.0,40
22,15.5,44
22,16.0,56
22,16.5,111
22,17.0,166
22,17.5,224
22,18.0,161
22,18.5,152
22,19.0,105
22,19.5,78
22,20.0,60
22,20.5,73
22,21.0,57
22,21.5,59
22,22.0,47
22,22.5,49
22,23.0,47
23,5.0,2
23,5.5,1
23,6.0,9
23,6.5,30
23,7.0,93
23,7.5,170
23,8.0,192
23,8.5,176
23,9.0,114
23,9.5,57
23,10.0,37
23,10.5,43
23,11.0,46
23,11.5,69
23,12.0,64
23,12.5,87
23,13.0,73
23,13.5,40
23,14.0,36
23,14.5,43
23,15.0,33
23,15.5,54
23,16.0,71
23,16.5,152
23,17.0,228
23,17.5,226
23,18.0,281
23,18.5,196
23,19.0,142
23,19.5,117
23,20.0,86
23,20.5,69
23,21.0,60
23,21.5,63
23,22.0,55
23,22.5,50
23,23.0,43
24,5.0,0
24,5.5,2
24,6.0,13
24,6.5,28
24,7.0,76
24,7.5,138
24,8.0,176
24,8.5,163
24,9.0,110
24,9.5,53
24,10.0,40
24,10.5,30
24,11.0,36
24,11.5,45
24,12.0,77
24,12.5,61
24,13.0,63
24,13.5,42
24,14.0,39
24,14.5,41
24,15.0,31
24,15.5,41
24,16.0,70
24,16.5,120
24,17.0,169
24,17.5,206
24,18.0,196
24,18.5,173
24,19.0,91
24,19.5,84
24,20.0,61
24,20.5,65
24,21.0,62
24,21.5,65
24,22.0,50
24,22.5,54
24,23.0,40
25,5.0,0
25,5.5,0
25,6.0,7
25,6.5,22
25,7.0,65
25,7.5,125
25,8.0,179
25,8.5,147
25,9.0,99
25,9.5,45
25,10.0,29
25,10.5,29
25,11.0,34
25,11.5,48
25,12.0,74
25,12.5,56
25,13.0,68
25,13.5,37
25,14.0,38
25,14.5,30
25,15.0,28
25,15.5,36
25,16.0,56
25,16.5,116
